Unnamed: 0,group,rank,team,matches_played,wins,draws,losses,goals_scored,goals_against,goal_difference,points,expected_goal_scored,exp_goal_conceded,exp_goal_difference,exp_goal_difference_per_90,win_percentage,avg_goals_scored,avg_goals_conceded,points_per_match,rank_by_points_and_goals,goal_diff_vs_expected,defensive_efficiency,goal_diff_per_90,is_overachiever,performance_index
0,1,1,Netherlands,3,2,1,0,5,1,4,7,2.4,2.7,-0.3,-0.11,66.66666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,5,2.6,2.7,1.3333333333333333,True,25.888888888888886
1,1,2,Senegal,3,2,0,1,5,4,1,6,3.8,2.5,1.3,0.43,66.66666666666666,1.6666666666666667,1.3333333333333333,2.0,1,1.2000000000000002,0.625,0.3333333333333333,True,24.555555555555554
2,1,3,Ecuador,3,1,1,1,4,3,1,4,3.7,2.6,1.2,0.39,33.33333333333333,1.3333333333333333,1.0,1.3333333333333333,21,0.2999999999999998,0.8666666666666667,0.3333333333333333,True,12.777777777777777
3,1,4,Qatar,3,0,0,3,1,7,-6,0,1.4,3.5,-2.1,-0.71,0.0,0.3333333333333333,2.3333333333333335,0.0,9,-0.3999999999999999,0.5,-2.0,True,-2.0
4,2,1,England,3,2,1,0,9,2,7,7,5.2,2.3,2.9,0.97,66.66666666666666,3.0,0.6666666666666666,2.3333333333333335,13,3.8,1.15,2.3333333333333335,True,26.888888888888886
5,2,2,United States,3,1,2,0,2,1,1,5,2.6,2.7,-0.1,-0.03,33.33333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,25,-0.6000000000000001,2.7,0.3333333333333333,True,13.111111111111109
6,2,3,IR Iran,3,1,0,2,4,7,-3,3,3.2,4.2,-0.9,-0.32,33.33333333333333,1.3333333333333333,2.3333333333333335,1.0,29,0.7999999999999998,0.6,-1.0,True,11.111111111111109
7,2,4,Wales,3,0,1,2,1,6,-5,1,2.7,4.6,-1.9,-0.63,0.0,0.3333333333333333,2.0,0.3333333333333333,2,-1.7000000000000002,0.7666666666666666,-1.6666666666666667,True,-1.3333333333333333
8,3,1,Argentina,3,2,0,1,5,2,3,6,6.0,0.7,5.2,1.74,66.66666666666666,1.6666666666666667,0.6666666666666666,2.0,17,-1.0,0.35,1.0,True,25.222222222222218
9,3,2,Poland,3,1,1,1,2,2,0,4,2.8,5.9,-3.1,-1.04,33.33333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,26,-0.7999999999999998,2.95,0.0,True,12.444444444444443
10,3,3,Mexico,3,1,1,1,2,3,-1,4,3.3,2.4,0.9,0.3,33.33333333333333,0.6666666666666666,1.0,1.3333333333333333,14,-1.2999999999999998,0.7999999999999999,-0.3333333333333333,True,12.111111111111109
11,3,4,Saudi Arabia,3,1,0,2,3,5,-2,3,3.0,6.0,-3.0,-1.01,33.33333333333333,1.0,1.6666666666666667,1.0,22,0.0,1.2,-0.6666666666666666,True,11.444444444444443
12,4,1,France,3,2,0,1,6,3,3,6,7.2,1.6,5.5,1.85,66.66666666666666,2.0,1.0,2.0,6,-1.2000000000000002,0.5333333333333333,1.0,True,25.222222222222218
13,4,2,Australia,3,2,0,1,3,4,-1,6,1.7,5.6,-3.9,-1.29,66.66666666666666,1.0,1.3333333333333333,2.0,18,1.3,1.4,-0.3333333333333333,True,23.888888888888886
14,4,3,Tunisia,3,1,1,1,1,1,0,4,2.3,2.8,-0.5,-0.17,33.33333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,3,-1.2999999999999998,2.8,0.0,True,12.444444444444443
15,4,4,Denmark,3,0,1,2,1,3,-2,1,2.7,3.9,-1.2,-0.39,0.0,0.3333333333333333,1.0,0.3333333333333333,19,-1.7000000000000002,1.3,-0.6666666666666666,True,-0.3333333333333333
16,5,1,Japan,3,2,0,1,4,3,1,6,3.8,4.2,-0.4,-0.14,66.66666666666666,1.3333333333333333,1.0,2.0,10,0.20000000000000018,1.4000000000000001,0.3333333333333333,True,24.555555555555554
17,5,2,Spain,3,1,1,1,9,3,6,4,5.2,2.7,2.5,0.82,33.33333333333333,3.0,1.0,1.3333333333333333,15,3.8,0.9,2.0,True,14.444444444444443
18,5,3,Germany,3,1,1,1,6,5,1,4,10.1,3.4,6.7,2.22,33.33333333333333,2.0,1.6666666666666667,1.3333333333333333,27,-4.1,0.6799999999999999,0.3333333333333333,False,12.777777777777777
19,5,4,Costa Rica,3,1,0,2,3,11,-8,3,1.4,10.1,-8.7,-2.9,33.33333333333333,1.0,3.6666666666666665,1.0,30,1.6,0.9181818181818181,-2.6666666666666665,True,9.444444444444443
20,6,1,Morocco,3,2,1,0,4,1,3,7,2.4,2.8,-0.5,-0.15,66.66666666666666,1.3333333333333333,0.3333333333333333,2.3333333333333335,31,1.6,2.8,1.0,True,25.555555555555554
21,6,2,Croatia,3,1,2,0,4,1,3,5,3.8,3.8,0.0,-0.01,33.33333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,11,0.20000000000000018,3.8,1.0,True,13.777777777777777
22,6,3,Belgium,3,1,1,1,1,2,-1,4,4.7,4.6,0.2,0.05,33.33333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,23,-3.7,2.3,-0.3333333333333333,True,12.111111111111109
23,6,4,Canada,3,0,0,3,2,7,-5,0,4.2,3.9,0.3,0.11,0.0,0.6666666666666666,2.3333333333333335,0.0,12,-2.2,0.5571428571428572,-1.6666666666666667,False,-1.6666666666666667
24,7,1,Brazil,3,2,0,1,3,1,2,6,5.9,0.9,4.9,1.65,66.66666666666666,1.0,0.3333333333333333,2.0,32,-2.9000000000000004,0.9,0.6666666666666666,True,24.888888888888886
25,7,2,Switzerland,3,2,0,1,4,3,1,6,4.4,3.1,1.4,0.45,66.66666666666666,1.3333333333333333,1.0,2.0,7,-0.40000000000000036,1.0333333333333334,0.3333333333333333,True,24.555555555555554
26,7,3,Cameroon,3,1,1,1,4,4,0,4,3.4,5.8,-2.3,-0.78,33.33333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,20,0.6000000000000001,1.45,0.0,True,12.444444444444443
27,7,4,Serbia,3,0,1,2,5,8,-3,1,3.4,7.3,-3.9,-1.32,0.0,1.6666666666666667,2.6666666666666665,0.3333333333333333,16,1.6,0.9125,-1.0,True,-0.6666666666666666
28,8,1,Portugal,3,2,0,1,6,4,2,6,4.6,3.9,0.7,0.24,66.66666666666666,2.0,1.3333333333333333,2.0,28,1.4000000000000004,0.975,0.6666666666666666,True,24.888888888888886
29,8,2,Korea Republic,3,1,1,1,4,4,0,4,4.1,3.5,0.6,0.19,33.33333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,8,-0.09999999999999964,0.875,0.0,True,12.444444444444443
30,8,3,Uruguay,3,1,1,1,2,2,0,4,3.7,3.5,0.1,0.05,33.33333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,24,-1.7000000000000002,1.75,0.0,True,12.444444444444443
31,8,4,Ghana,3,1,0,2,5,7,-2,3,4.1,5.6,-1.4,-0.48,33.33333333333333,1.6666666666666667,2.3333333333333335,1.0,4,0.9000000000000004,0.7999999999999999,-0.6666666666666666,True,11.444444444444443
